Sampling Point Id, Country, Air Quality Station EoI Code, Longitude, Latitude, Altitude, Air Quality Station Area, Air Quality Station Type, 
SPO.02.F202.2704.1.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2704.1.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2706.38.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2706.38.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2706.38.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2706.38.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2707.8.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2707.8.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2707.8.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2707.8.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2708.7.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2708.7.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.2708.7.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.F202.56347.5.1, Austria, AT2F202, 14.530000000, 46.8428, 810.0, rural, industrial, 
SPO.02.KA11.55366.5.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.871.1.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.874.8.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.874.8.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
SPO.02.KA11.875.7.1, Austria, AT2KA11, 14.297500000, 46.6256, 445.0, urban, background, 
